,variable,value
79,CITY:BE000004,"Hasselt, BE"
80,CITY:BE000005,"Liege, BE"
81,CITY:BF000001,"Nassau, BF"
82,CITY:BG000001,"Barisal, BG"
83,CITY:BG000002,"Chittagong, BG"
84,CITY:BG000003,"Dhaka, BG"
85,CITY:BG000005,"Rajshahi, BG"
86,CITY:BH000001,"Belize, BH"
87,CITY:BK000001,"Sarajevo, BK"
88,CITY:BL000001,"Cochabamba, BL"
89,CITY:BL000002,"La Paz, BL"
90,CITY:BL000003,"Oruro, BL"
91,CITY:BL000004,"Potosi, BL"
92,CITY:BL000005,"Santa Cruz de La Sierra, BL"
93,CITY:BL000006,"Sucre, BL"
94,CITY:BL000007,"Tarija, BL"
95,CITY:BL000008,"Trinidad, BL"
96,CITY:BM000003,"Mandalay, BM"
97,CITY:BM000005,"Myitkyina, BM"
98,CITY:BM000007,"Rangoon, BM"
99,CITY:BM000008,"Sagaing, BM"
100,CITY:BM000009,"Sittwe, BM"
101,CITY:BN000001,"Abomey, BN"
102,CITY:BN000002,"Cotonou, BN"
103,CITY:BN000003,"Lokossa, BN"
104,CITY:BN000004,"Natitingou, BN"
105,CITY:BN000005,"Parakou, BN"
106,CITY:BO000001,"Brest, BO"
107,CITY:BO000002,"Homyel', BO"
108,CITY:BO000003,"Hrodna, BO"
109,CITY:BO000004,"Mahilyow, BO"
110,CITY:BO000005,"Minsk, BO"
111,CITY:BO000006,"Vitsyebsk, BO"
112,CITY:BP000001,"Honiara, BP"
113,CITY:BR000001,"Aracaju, BR"
114,CITY:BR000002,"Belem, BR"
115,CITY:BR000003,"Belo Horizonte, BR"
116,CITY:BR000004,"Boa Vista, BR"
117,CITY:BR000005,"Brasilia, BR"
118,CITY:BR000006,"Campo Grande, BR"
119,CITY:BR000007,"Cuiaba, BR"
120,CITY:BR000008,"Curitiba, BR"
121,CITY:BR000009,"Florianopolis, BR"
122,CITY:BR000010,"Fortaleza, BR"
123,CITY:BR000011,"Goiania, BR"
124,CITY:BR000012,"Joao Pessoa, BR"
125,CITY:BR000013,"Macapa, BR"
126,CITY:BR000014,"Maceio, BR"
127,CITY:BR000015,"Manaus, BR"
128,CITY:BR000016,"Natal, BR"
129,CITY:BR000017,"Niteroi, BR"
130,CITY:BR000018,"Palmas, BR"
131,CITY:BR000019,"Porto Alegre, BR"
132,CITY:BR000020,"Porto Velho, BR"
133,CITY:BR000021,"Recife, BR"
134,CITY:BR000022,"Rio Branco, BR"
135,CITY:BR000023,"Rio de Janeiro, BR"
136,CITY:BR000024,"Salvador, BR"
137,CITY:BR000025,"Santarem, BR"
138,CITY:BR000026,"Santos, BR"
139,CITY:BR000027,"Sao Luis, BR"
140,CITY:BR000028,"Sao Paulo, BR"
141,CITY:BR000029,"Teresina, BR"
142,CITY:BR000030,"Vitoria, BR"
143,CITY:BU000002,"Sofia, BU"
144,CITY:BU000003,"Varna, BU"
145,CITY:BX000001,"Bandar Seri Begawan, BX"
146,CITY:BY000001,"Bujumbura, BY"
147,CITY:BY000002,"Muyinga, BY"
148,CITY:CA000001,"Calgary, CA"
149,CITY:CA000002,"Edmonton, CA"
150,CITY:CA000003,"Fredericton, CA"
151,CITY:CA000004,"Halifax, CA"
152,CITY:CA000005,"Montreal, CA"
153,CITY:CA000006,"Ottawa, CA"
154,CITY:CA000007,"Quebec, CA"
155,CITY:CA000008,"Regina, CA"
156,CITY:CA000009,"Saint John, CA"
157,CITY:CA000010,"Saskatoon, CA"
158,CITY:CA000011,"Toronto, CA"
159,CITY:CA000012,"Vancouver, CA"
160,CITY:CA000013,"Victoria, CA"
161,CITY:CA000014,"Winnipeg, CA"
162,CITY:CB000004,"Phnom Penh, CB"
163,CITY:CD000001,"Abeche, CD"
164,CITY:CD000002,"Moundou, CD"
165,CITY:CD000003,"Ndjamena, CD"
166,CITY:CD000004,"Sarh, CD"
167,CITY:CE000002,"Colombo, CE"
168,CITY:CE000005,"Trincomalee, CE"
169,CITY:CF000001,"Brazzaville, CF"
170,CITY:CF000002,"Loubomo, CF"
171,CITY:CF000003,"Pointe Noire, CF"
172,CITY:CG000001,"Bandundu, CG"
173,CITY:CG000002,"Kananga, CG"
174,CITY:CG000003,"Kinshasa, CG"
175,CITY:CG000005,"Lumumbashi, CG"
176,CITY:CG000006,"Matadi, CG"
177,CITY:CG000007,"Mbandaka, CG"
178,CITY:CG000008,"Mbuji-Mayi, CG"
179,CITY:CH000003,"Beijing, CH"
180,CITY:CH000004,"Changchun, CH"
181,CITY:CH000005,"Changsha, CH"
182,CITY:CH000006,"Chengdu, CH"
183,CITY:CH000007,"Chongqing, CH"
184,CITY:CH000008,"Dalian, CH"
185,CITY:CH000009,"Fushun, CH"
186,CITY:CH000010,"Fuzhou, CH"
187,CITY:CH000011,"Guangzhou, CH"
188,CITY:CH000012,"Guiyang, CH"
189,CITY:CH000013,"Hangzhou, CH"
190,CITY:CH000014,"Harbin, CH"
191,CITY:CH000015,"Hefei, CH"
192,CITY:CH000016,"Hong Kong, CH"
193,CITY:CH000017,"Huhot, CH"
194,CITY:CH000019,"Jinan, CH"
195,CITY:CH000020,"Kashi, CH"
196,CITY:CH000021,"Kunming, CH"
197,CITY:CH000022,"Lanzhou, CH"
198,CITY:CH000023,"Lhasa, CH"
199,CITY:CH000025,"Macau, CH"
200,CITY:CH000026,"Nanchang, CH"
201,CITY:CH000027,"Nanjing, CH"
202,CITY:CH000028,"Nanning, CH"
203,CITY:CH000029,"Qingdao, CH"
204,CITY:CH000030,"Qiqihar, CH"
205,CITY:CH000031,"Shanghai, CH"
206,CITY:CH000032,"Shenyang, CH"
207,CITY:CH000033,"Shijiazhuang, CH"
208,CITY:CH000037,"Taiyuan, CH"
209,CITY:CH000039,"Tianjin, CH"
210,CITY:CH000040,"Urumqi, CH"
211,CITY:CH000041,"Wuhan, CH"
212,CITY:CH000042,"Xi'an, CH"
213,CITY:CH000043,"Xining, CH"
214,CITY:CH000044,"Yinchuan, CH"
215,CITY:CH000045,"Zhengzhou, CH"
216,CITY:CI000001,"Antofagasta, CI"
217,CITY:CI000002,"Concepcion, CI"
218,CITY:CI000003,"Copiapo, CI"
219,CITY:CI000004,"Coquimbo, CI"
220,CITY:CI000006,"La Serena, CI"
221,CITY:CI000007,"Puerto Montt, CI"
222,CITY:CI000008,"Punta Arenas, CI"
223,CITY:CI000009,"Santiago, CI"
224,CITY:CI000011,"Temuco, CI"
225,CITY:CM000003,"Bertoua, CM"
226,CITY:CM000004,"Douala, CM"
227,CITY:CM000006,"Garoua, CM"
228,CITY:CM000007,"Maroua, CM"
229,CITY:CM000008,"Ngaoundere, CM"
230,CITY:CO000001,"Arauca, CO"
231,CITY:CO000002,"Armenia, CO"
232,CITY:CO000003,"Barranquilla, CO"
233,CITY:CO000004,"Bogota, CO"
234,CITY:CO000005,"Bucaramanga, CO"
235,CITY:CO000006,"Cali, CO"
236,CITY:CO000007,"Cartagena, CO"
237,CITY:CO000008,"Cucuta, CO"
238,CITY:CO000010,"Ibague, CO"
239,CITY:CO000012,"Medellin, CO"
240,CITY:CO000013,"Monteria, CO"
241,CITY:CO000014,"Neiva, CO"
242,CITY:CO000015,"Pasto, CO"
243,CITY:CO000016,"Pereira, CO"
244,CITY:CO000017,"Quibdo, CO"
245,CITY:CO000018,"Riohacha, CO"
246,CITY:CO000019,"San Andres, CO"
247,CITY:CO000020,"Santa Marta, CO"
248,CITY:CO000023,"Valledupar, CO"
249,CITY:CO000024,"Villavicencio, CO"
250,CITY:CS000001,"Puerto Limon, CS"
251,CITY:CS000002,"San Jose, CS"
252,CITY:CT000001,"Bangui, CT"
253,CITY:CT000002,"Berberati, CT"
254,CITY:CU000001,"Camaguey, CU"
255,CITY:CU000005,"Havana, CU"
256,CITY:CU000008,"Matanzas, CU"
257,CITY:CV000001,"Praia, CV"
258,CITY:CY000001,"Lemesos, CY"
259,CITY:CY000002,"Nicosia, CY"
260,CITY:DA000001,"Alborg, DA"
261,CITY:DA000003,"Copenhagen, DA"
262,CITY:DR000004,"La Romana, DR"
263,CITY:DR000007,"San Pedro De Macoris, DR"
264,CITY:DR000008,"Santiago, DR"
265,CITY:DR000009,"Santo Domingo, DR"
266,CITY:EC000002,"Babahoyo, EC"
267,CITY:EC000006,"Loja, EC"
268,CITY:EC000008,"Portoviejo, EC"
269,CITY:EC000009,"Quito, EC"
270,CITY:EG000001,"Al Ghurdaqah, EG"
271,CITY:EG000002,"Alexandria, EG"
272,CITY:EG000003,"Aswan, EG"
273,CITY:EG000005,"Cairo, EG"
274,CITY:EG000007,"Giza, EG"
275,CITY:EG000008,"Ismailia, EG"
276,CITY:EG000009,"Marsa Matruh, EG"
277,CITY:EG000010,"Qena, EG"
278,CITY:EG000012,"Suez, EG"
279,CITY:EI000001,"Cork, EI"
280,CITY:EI000002,"Dublin, EI"
281,CITY:EI000003,"Galway, EI"
282,CITY:EK000001,"Bata, EK"
283,CITY:EK000002,"Malabo, EK"
284,CITY:EN000001,"Tallinn, EN"
285,CITY:ER000001,"Asmara, ER"
286,CITY:ES000001,"Nueva San Salvador, ES"
287,CITY:ES000002,"San Salvador, ES"
288,CITY:ES000004,"Sonsonate, ES"
289,CITY:ET000001,"Addis Ababa, ET"
290,CITY:ET000002,"Arba Minch, ET"
291,CITY:ET000003,"Awasa, ET"
292,CITY:ET000004,"Debre Markos, ET"
293,CITY:ET000005,"Dese, ET"
294,CITY:ET000006,"Gonder, ET"
295,CITY:ET000007,"Jima, ET"
296,CITY:EZ000001,"Brno, EZ"
297,CITY:EZ000004,"Ostrava, EZ"
298,CITY:EZ000006,"Prague, EZ"
299,CITY:EZ000007,"Usti Nad Labem, EZ"
300,CITY:FG000001,"Cayenne, FG"
301,CITY:FI000001,"Helsinki, FI"
302,CITY:FI000002,"Joensuu, FI"
303,CITY:FI000003,"Jyvaskyla, FI"
304,CITY:FI000004,"Kuopio, FI"
305,CITY:FI000005,"Oulu, FI"
306,CITY:FI000006,"Turku, FI"
307,CITY:FJ000001,"Suva, FJ"
308,CITY:FR000001,"Ajaccio, FR"
309,CITY:FR000002,"Amiens, FR"
310,CITY:FR000003,"Besancon, FR"
311,CITY:FR000005,"Brest, FR"
312,CITY:FR000006,"Caen, FR"
313,CITY:FR000007,"Clermont-Ferrand, FR"
314,CITY:FR000008,"Dijon, FR"
315,CITY:FR000009,"Le Havre, FR"
316,CITY:FR000010,"Lille, FR"
317,CITY:FR000011,"Limoges, FR"
318,CITY:FR000012,"Lyon, FR"
319,CITY:FR000013,"Marseille, FR"
320,CITY:FR000014,"Montpellier, FR"
321,CITY:FR000015,"Nancy, FR"
322,CITY:FR000016,"Nantes, FR"
323,CITY:FR000017,"Orleans, FR"
324,CITY:FR000018,"Paris, FR"
325,CITY:FR000019,"Poitiers, FR"
326,CITY:FR000020,"Reims, FR"
327,CITY:FR000021,"Rennes, FR"
328,CITY:FR000022,"Rouen, FR"
329,CITY:FR000023,"Strasbourg, FR"
330,CITY:FR000024,"Toulouse, FR"
331,CITY:GA000001,"Brikama, GA"
332,CITY:GB000001,"Libreville, GB"
333,CITY:GB000002,"Port Gentil, GB"
334,CITY:GG000001,"Bat'umi, GG"
335,CITY:GG000002,"Sokhumi, GG"
336,CITY:GG000003,"T'Bilisi, GG"
337,CITY:GH000001,"Accra, GH"
338,CITY:GH000004,"Ho, GH"
339,CITY:GH000005,"Koforidua, GH"
340,CITY:GH000006,"Kumasi, GH"
341,CITY:GH000007,"Sekondi, GH"
342,CITY:GH000008,"Sunyani, GH"
343,CITY:GH000009,"Tamale, GH"
344,CITY:GH000010,"Wa, GH"
345,CITY:GM000001,"Berlin, GM"
346,CITY:GM000002,"Bonn, GM"
347,CITY:GM000003,"Bremen, GM"
348,CITY:GM000004,"Bremerhaven, GM"
349,CITY:GM000005,"Cologne, GM"
350,CITY:GM000006,"Dortmund, GM"
351,CITY:GM000007,"Dresden, GM"
352,CITY:GM000008,"Duisburg, GM"
353,CITY:GM000009,"Dusseldorf, GM"
354,CITY:GM000010,"Erfurt, GM"
355,CITY:GM000011,"Essen, GM"
356,CITY:GM000012,"Frankfurt, GM"
357,CITY:GM000013,"Hamburg, GM"
358,CITY:GM000014,"Hannover, GM"
359,CITY:GM000015,"Kiel, GM"
360,CITY:GM000016,"Leipzig, GM"
361,CITY:GM000017,"Magdeburg, GM"
362,CITY:GM000018,"Mainz, GM"
363,CITY:GM000019,"Munich, GM"
364,CITY:GM000020,"Potsdam, GM"
365,CITY:GM000021,"Saarbrucken, GM"
366,CITY:GM000022,"Schwerin, GM"
367,CITY:GM000023,"Stuttgart, GM"
368,CITY:GM000024,"Wiesbaden, GM"
369,CITY:GR000001,"Athens, GR"
370,CITY:GR000002,"Ioannina, GR"
371,CITY:GR000003,"Iraklion, GR"
372,CITY:GR000004,"Larisa, GR"
373,CITY:GR000006,"Piraeus, GR"
374,CITY:GR000007,"Thessaloniki, GR"
375,CITY:GT000004,"Guatemala, GT"
376,CITY:GV000001,"Conakry, GV"
377,CITY:GV000002,"Kankan, GV"
378,CITY:GV000003,"Kindia, GV"
379,CITY:GV000004,"Nzerekore, GV"
380,CITY:GY000001,"Georgetown, GY"
381,CITY:HO000002,"La Ceiba, HO"
382,CITY:HO000003,"San Pedro Sula, HO"
383,CITY:HO000004,"Tegucigalpa, HO"
384,CITY:HR000001,"Rijeka, HR"
385,CITY:HR000002,"Zagreb, HR"
386,CITY:HU000002,"Budapest, HU"
387,CITY:HU000003,"Debrecen, HU"
388,CITY:HU000008,"Miskolc, HU"
389,CITY:HU000010,"Pecs, HU"
390,CITY:HU000011,"Szeged, HU"
391,CITY:HU000014,"Szombathely, HU"
392,CITY:IC000001,"Reykjavik, IC"
393,CITY:ID000001,"Ambon, ID"
394,CITY:ID000002,"Balikpapan, ID"
395,CITY:ID000003,"Banda Aceh, ID"
396,CITY:ID000004,"Bandjermasin, ID"
397,CITY:ID000006,"Bengkulu, ID"
398,CITY:ID000007,"Denpasar, ID"
399,CITY:ID000008,"Jakarta, ID"
400,CITY:ID000009,"Jambi, ID"
401,CITY:ID000010,"Jayapura, ID"
402,CITY:ID000011,"Kupang, ID"
403,CITY:ID000012,"Makassar, ID"
404,CITY:ID000013,"Manado, ID"
405,CITY:ID000014,"Mataram, ID"
406,CITY:ID000015,"Medan, ID"
407,CITY:ID000016,"Padang, ID"
408,CITY:ID000017,"Palembang, ID"
409,CITY:ID000018,"Palu, ID"
410,CITY:ID000019,"Pontianak, ID"
411,CITY:ID000020,"Samarinda, ID"
412,CITY:ID000021,"Semarang, ID"
413,CITY:ID000022,"Surabaja, ID"
414,CITY:ID000023,"Tanjungkarang-Telukbetung, ID"
415,CITY:IN000001,"Agartala, IN"
416,CITY:IN000002,"Ahmadabad, IN"
417,CITY:IN000003,"Aizawl, IN"
418,CITY:IN000004,"Amritsar, IN"
419,CITY:IN000005,"Bangalore, IN"
420,CITY:IN000006,"Bhopal, IN"
421,CITY:IN000007,"Bhubaneshwar, IN"
422,CITY:IN000008,"Chandigarh, IN"
423,CITY:IN000009,"Chennai, IN"
424,CITY:IN000010,"Cochin, IN"
425,CITY:IN000011,"Delhi, IN"
426,CITY:IN000012,"Hyderabad, IN"
427,CITY:IN000013,"Imphal, IN"
428,CITY:IN000014,"Jaipur, IN"
429,CITY:IN000015,"Kanpur, IN"
430,CITY:IN000016,"Kohima, IN"
431,CITY:IN000017,"Kolkata, IN"
432,CITY:IN000018,"Lucknow, IN"
433,CITY:IN000019,"Madurai, IN"
434,CITY:IN000020,"Mangalore, IN"
435,CITY:IN000021,"Mumbai, IN"
436,CITY:IN000022,"Nagpur, IN"
437,CITY:IN000023,"New Delhi, IN"
438,CITY:IN000024,"Panaji, IN"
439,CITY:IN000025,"Patna, IN"
440,CITY:IN000026,"Pondicherry, IN"
441,CITY:IN000027,"Port Blair, IN"
442,CITY:IN000028,"Pune, IN"
443,CITY:IN000029,"Shillong, IN"
444,CITY:IN000030,"Simla, IN"
445,CITY:IN000031,"Trivandrum, IN"
446,CITY:IN000032,"Varanasi, IN"
447,CITY:IN000033,"Vishakhapatnam, IN"
448,CITY:IR000001,"Ahvaz, IR"
449,CITY:IR000002,"Arak, IR"
450,CITY:IR000003,"Esfahan, IR"
451,CITY:IR000004,"Hamadan, IR"
452,CITY:IR000005,"Ilam, IR"
453,CITY:IR000006,"Kerman, IR"
454,CITY:IR000007,"Kermanshah, IR"
455,CITY:IR000008,"Khorramabad, IR"
456,CITY:IR000009,"Mashhad, IR"
457,CITY:IR000010,"Rasht, IR"
458,CITY:IR000011,"Sanandaj, IR"
459,CITY:IR000013,"Semnan, IR"
460,CITY:IR000014,"Shahr-E Kord, IR"
461,CITY:IR000015,"Shiraz, IR"
462,CITY:IR000016,"Tabriz, IR"
463,CITY:IR000017,"Tehran, IR"
464,CITY:IR000018,"Yazd, IR"
465,CITY:IR000019,"Zahedan, IR"
466,CITY:IR000020,"Zanjan, IR"
467,CITY:IS000001,"Beersheba, IS"
468,CITY:IS000003,"Jerusalem, IS"
469,CITY:IS000005,"Ramla, IS"
470,CITY:IS000006,"Tel Aviv-Yafo, IS"
471,CITY:IT000004,"Bologna, IT"
472,CITY:IT000005,"Cagliari, IT"
473,CITY:IT000006,"Campobasso, IT"
474,CITY:IT000009,"Genoa, IT"
475,CITY:IT000010,"Milan, IT"
476,CITY:IT000011,"Naples, IT"
477,CITY:IT000012,"Palermo, IT"
478,CITY:IT000015,"Rome, IT"
479,CITY:IT000016,"Trento, IT"
480,CITY:IT000017,"Trieste, IT"
481,CITY:IT000018,"Turin, IT"
482,CITY:IV000002,"Abidjan, IV"
483,CITY:IV000005,"Bondoukou, IV"
484,CITY:IV000007,"Bouake, IV"
485,CITY:IV000008,"Daloa, IV"
486,CITY:IV000010,"Dimbokro, IV"
487,CITY:IV000012,"Ferkessedougou, IV"
488,CITY:IV000013,"Gagnoa, IV"
489,CITY:IV000015,"Korhogo, IV"
490,CITY:IV000016,"Man, IV"
491,CITY:IV000021,"Yamoussoukro, IV"
492,CITY:IZ000003,"Al Basrah, IZ"
493,CITY:JA000001,"Aomori, JA"
494,CITY:JA000002,"Fukuoka, JA"
495,CITY:JA000003,"Gifu, JA"
496,CITY:JA000004,"Hiroshima, JA"
497,CITY:JA000005,"Kawasaki, JA"
498,CITY:JA000006,"Kita Kyushu, JA"
499,CITY:JA000007,"Kobe, JA"
500,CITY:JA000008,"Kyoto, JA"
501,CITY:JA000009,"Nagasaki, JA"
502,CITY:JA000010,"Nagoya, JA"
503,CITY:JA000011,"Naha, JA"
504,CITY:JA000012,"Osaka, JA"
505,CITY:JA000013,"Sapporo, JA"
506,CITY:JA000014,"Sendai, JA"
507,CITY:JA000015,"Shimonoseki, JA"
508,CITY:JA000016,"Tokyo, JA"
509,CITY:JA000017,"Yokohama, JA"
510,CITY:JM000001,"Kingston, JM"
511,CITY:JM000002,"Montego Bay, JM"
512,CITY:JM000003,"Spanish Town, JM"
513,CITY:JO000001,"Al Mafraq, JO"
514,CITY:JO000004,"Az Zarqa', JO"
515,CITY:JO000005,"Irbid, JO"
516,CITY:KE000003,"Mombasa, KE"
517,CITY:KE000004,"Nairobi, KE"
518,CITY:KG000001,"Bishkek, KG"
519,CITY:KG000002,"Karakol, KG"
520,CITY:KG000003,"Osh, KG"
521,CITY:KN000002,"Haeju, KN"
522,CITY:KN000004,"Hyesan, KN"
523,CITY:KN000005,"Kaesong, KN"
524,CITY:KN000007,"P'yongyang, KN"
525,CITY:KN000008,"Sariwon, KN"
526,CITY:KN000009,"Sinuiju, KN"
527,CITY:KN000010,"Wonsan, KN"
528,CITY:KS000001,"Ch'unch'on, KS"
529,CITY:KS000002,"Ch'ungju, KS"
530,CITY:KS000003,"Cheju, KS"
531,CITY:KS000004,"Chonju, KS"
532,CITY:KS000005,"Inch`on, KS"
533,CITY:KS000006,"Kwangju, KS"
534,CITY:KS000007,"Pusan, KS"
535,CITY:KS000008,"Seoul, KS"
536,CITY:KS000009,"Taegu, KS"
537,CITY:KS000010,"Taejon, KS"
538,CITY:KU000001,"Kuwait, KU"
539,CITY:KZ000001,"Aktyubinsk, KZ"
540,CITY:KZ000002,"Almaty, KZ"
541,CITY:KZ000003,"Astana, KZ"
542,CITY:KZ000004,"Atyrau, KZ"
543,CITY:KZ000005,"Dzhambul, KZ"
544,CITY:KZ000006,"Karaganda, KZ"
545,CITY:KZ000007,"Kokshetau, KZ"
546,CITY:KZ000008,"Kostanay, KZ"
547,CITY:KZ000009,"Kyzylorda, KZ"
548,CITY:KZ000010,"Pavlodar, KZ"
549,CITY:KZ000011,"Petropavlovsk, KZ"
550,CITY:KZ000012,"Semipalatinsk, KZ"
551,CITY:KZ000013,"Shymkent, KZ"
552,CITY:KZ000014,"Taldykorgan, KZ"
553,CITY:KZ000015,"Ural'sk, KZ"
554,CITY:KZ000016,"Ust'-Kamenogorsk, KZ"
555,CITY:KZ000017,"Zhezkazgan, KZ"
556,CITY:LA000001,"Savannakhet, LA"
557,CITY:LA000002,"Vientiane, LA"
558,CITY:LE000001,"Beirut, LE"
559,CITY:LE000003,"Tripoli, LE"
560,CITY:LE000004,"Zahle, LE"
561,CITY:LG000001,"Riga, LG"
562,CITY:LH000001,"Vilnius, LH"
563,CITY:LI000001,"Monrovia, LI"
564,CITY:LO000001,"Banska Bystrica, LO"
565,CITY:LO000003,"Kosice, LO"
566,CITY:LT000001,"Mafeteng, LT"
567,CITY:LT000002,"Maseru, LT"
568,CITY:LU000001,"Luxembourg, LU"
569,CITY:LY000001,"Ajdabiya, LY"
570,CITY:LY000002,"Al Khums, LY"
571,CITY:LY000003,"Benghazi, LY"
572,CITY:LY000004,"Darnah, LY"
573,CITY:LY000005,"Misratah, LY"
574,CITY:LY000006,"Tripoli, LY"
575,CITY:MA000001,"Antananarivo, MA"
576,CITY:MA000002,"Antsiranana, MA"
577,CITY:MA000003,"Fianarantsoa, MA"
578,CITY:MA000004,"Mahajanga, MA"
579,CITY:MA000005,"Toamasina, MA"
580,CITY:MA000006,"Toliara, MA"
581,CITY:MB000001,"Fort-De-France, MB"
582,CITY:MD000001,"Chisinau, MD"
583,CITY:MF000001,"Mamoutzou, MF"
584,CITY:MG000002,"Ulaanbaatar, MG"
585,CITY:MI000001,"Blantyre, MI"
586,CITY:MI000002,"Lilongwe, MI"
587,CITY:MJ000001,"Podgorica, MJ"
588,CITY:MK000001,"Skopje, MK"
589,CITY:ML000001,"Bamako, ML"
590,CITY:ML000002,"Gao, ML"
591,CITY:ML000003,"Kayes, ML"
592,CITY:ML000004,"Mopti, ML"
593,CITY:ML000005,"Segou, ML"
594,CITY:ML000006,"Sikasso, ML"
595,CITY:MO000002,"Casablanca, MO"
596,CITY:MO000004,"Marrakech, MO"
597,CITY:MO000005,"Meknes, MO"
598,CITY:MO000006,"Oujda, MO"
599,CITY:MO000007,"Rabat, MO"
600,CITY:MP000001,"Port Louis, MP"
601,CITY:MR000001,"Nouadhibou, MR"
602,CITY:MR000002,"Nouakchott, MR"
603,CITY:MU000001,"Muscat, MU"
604,CITY:MX000001,"Acapulco, MX"
605,CITY:MX000002,"Aguascalientes, MX"
606,CITY:MX000003,"Campeche, MX"
607,CITY:MX000004,"Chetumal, MX"
608,CITY:MX000005,"Chihuahua, MX"
609,CITY:MX000006,"Chilpancingo De Los Bravo, MX"
610,CITY:MX000007,"Ciudad Victoria, MX"
611,CITY:MX000008,"Colima, MX"
612,CITY:MX000009,"Cuernavaca, MX"
613,CITY:MX000010,"Culiacan, MX"
614,CITY:MX000011,"Durango, MX"
615,CITY:MX000012,"Guadalajara, MX"
616,CITY:MX000013,"Guanajuato, MX"
617,CITY:MX000014,"Hermosillo, MX"
618,CITY:MX000015,"Jalapa, MX"
619,CITY:MX000016,"La Paz, MX"
620,CITY:MX000017,"Mazatlan, MX"
621,CITY:MX000018,"Merida, MX"
622,CITY:MX000019,"Mexicali, MX"
623,CITY:MX000020,"Mexico City, MX"
624,CITY:MX000021,"Monterrey, MX"
625,CITY:MX000022,"Morelia, MX"
626,CITY:MX000023,"Oaxaca, MX"
627,CITY:MX000024,"Pachuca, MX"
628,CITY:MX000025,"Puebla, MX"
629,CITY:MX000026,"Queretaro, MX"
630,CITY:MX000027,"Saltillo, MX"
631,CITY:MX000028,"San Luis Potosi, MX"
